image1_column,image1_row,image2_column,image2_row,image1_x,image1_y,image2_x,image2_y,d_x,d_y,height1,height2,difference_height2_minus_height1,absolute_difference
94,199,94,198,289025.0,5736615.0,289025.0,5736620.0,0.0,5.0,38.37390899658203,38.86119842529297,0.4872894287109375,0.4872894287109375
102,167,102,168,289065.0,5736775.0,289065.0,5736770.0,0.0,5.0,47.0240478515625,47.1416015625,0.1175537109375,0.1175537109375
110,191,110,191,289105.0,5736655.0,289105.0,5736655.0,0.0,0.0,52.28162384033203,52.11800003051758,-0.16362380981445312,0.16362380981445312
118,193,118,193,289145.0,5736645.0,289145.0,5736645.0,0.0,0.0,53.580421447753906,53.737998962402344,0.1575775146484375,0.1575775146484375
128,187,128,187,289195.0,5736675.0,289195.0,5736675.0,0.0,0.0,51.74387741088867,51.97079849243164,0.22692108154296875,0.22692108154296875
129,159,128,159,289200.0,5736815.0,289195.0,5736815.0,5.0,0.0,43.30995178222656,43.543601989746094,0.23365020751953125,0.23365020751953125
131,190,130,190,289210.0,5736660.0,289205.0,5736660.0,5.0,0.0,51.17095184326172,51.72359848022461,0.5526466369628906,0.5526466369628906
135,187,136,187,289230.0,5736675.0,289235.0,5736675.0,5.0,0.0,49.427608489990234,49.402000427246094,-0.025608062744140625,0.025608062744140625
145,200,145,200,289280.0,5736610.0,289280.0,5736610.0,0.0,0.0,51.807952880859375,52.08639907836914,0.2784461975097656,0.2784461975097656
150,153,150,153,289305.0,5736845.0,289305.0,5736845.0,0.0,0.0,40.173282623291016,40.327598571777344,0.15431594848632812,0.15431594848632812
153,199,153,199,289320.0,5736615.0,289320.0,5736615.0,0.0,0.0,51.49270248413086,51.6515998840332,0.15889739990234375,0.15889739990234375
161,192,160,192,289360.0,5736650.0,289355.0,5736650.0,5.0,0.0,44.298336029052734,44.85919952392578,0.5608634948730469,0.5608634948730469
162,183,162,183,289365.0,5736695.0,289365.0,5736695.0,0.0,0.0,42.77104187011719,42.944400787353516,0.17335891723632812,0.17335891723632812
162,143,162,144,289365.0,5736895.0,289365.0,5736890.0,0.0,5.0,38.291473388671875,38.26559829711914,-0.025875091552734375,0.025875091552734375
162,186,162,186,289365.0,5736680.0,289365.0,5736680.0,0.0,0.0,43.54719161987305,43.70199966430664,0.15480804443359375,0.15480804443359375
168,182,167,182,289395.0,5736700.0,289390.0,5736700.0,5.0,0.0,42.07715606689453,42.34159851074219,0.26444244384765625,0.26444244384765625
172,191,171,191,289415.0,5736655.0,289410.0,5736655.0,5.0,0.0,42.69890594482422,42.924800872802734,0.22589492797851562,0.22589492797851562
183,197,184,197,289470.0,5736625.0,289475.0,5736625.0,5.0,0.0,41.79642105102539,41.972801208496094,0.17638015747070312,0.17638015747070312
